id,x,y,z
1,17.15893313,-69.61652831,0
2,33.32065144,-63.48719704,0
3,47.5458946,-53.66822064,0
4,59.00794318,-40.73024234,0
5,67.0406646,-25.4251704,0
6,71.17722627,-8.642479974,0
7,71.17722627,8.642479974,0
8,67.0406646,25.4251704,0
9,59.00794318,40.73024234,0
10,47.5458946,53.66822064,0
11,33.32065144,63.48719704,0
12,17.15893313,69.61652831,0
13,8.78E-15,71.7,0
14,-17.15893313,69.61652831,0
15,-33.32065144,63.48719704,0
16,-47.5458946,53.66822064,0
17,-59.00794318,40.73024234,0
18,-67.0406646,25.4251704,0
19,-71.17722627,8.642479974,0
20,-71.17722627,-8.642479974,0
21,-67.0406646,-25.4251704,0
22,-59.00794318,-40.73024234,0
23,-47.5458946,-53.66822064,0
24,-33.32065144,-63.48719704,0
25,-17.15893313,-69.61652831,0
26,16.8055105,-87.19526832,0
27,33.00362606,-82.43907245,0
28,48.00890459,-74.70331372,0
29,61.27901622,-64.26758258,0
30,72.33434454,-51.50905357,0
31,80.77532119,-36.88885315,0
32,86.29686727,-20.93539347,0
33,88.69941972,-4.225274125,0
34,87.89614404,12.63755764,0
35,83.9160727,29.04363514,0
36,76.90305586,44.4,0
37,67.1105622,58.15163317,0
38,54.89251798,69.80151481,0
39,40.69051513,78.92858784,0
40,25.01785105,85.20297606,0
41,8.440976645,88.39790672,0
42,-8.440976645,88.39790672,0
43,-25.01785105,85.20297606,0
44,-40.69051513,78.92858784,0
45,-54.89251798,69.80151481,0
46,-67.1105622,58.15163317,0
47,-76.90305586,44.4,0
48,-83.9160727,29.04363514,0
49,-87.89614404,12.63755764,0
50,-88.69941972,-4.225274125,0
51,-86.29686727,-20.93539347,0
52,-80.77532119,-36.88885315,0
53,-72.33434454,-51.50905357,0
54,-61.27901622,-64.26758258,0
55,-48.00890459,-74.70331372,0
56,-33.00362606,-82.43907245,0
57,-16.8055105,-87.19526832,0
58,17.33181036,-103.8638452,0
59,34.19085411,-99.59455555,0
60,50.11726049,-92.608586,0
61,64.67659865,-83.09649564,0
62,77.47172779,-71.31774949,0
63,88.15363016,-57.59364105,0
64,96.4309313,-42.29852822,0
65,102.077848,-25.8496218,0
66,104.9403471,-8.695605078,0
67,104.9403471,8.695605078,0
68,102.077848,25.8496218,0
69,96.4309313,42.29852822,0
70,88.15363016,57.59364105,0
71,77.47172779,71.31774949,0
72,64.67659865,83.09649564,0
73,50.11726049,92.608586,0
74,34.19085411,99.59455555,0
75,17.33181036,103.8638452,0
76,1.29E-14,105.3,0
77,-17.33181036,103.8638452,0
78,-34.19085411,99.59455555,0
79,-50.11726049,92.608586,0
80,-64.67659865,83.09649564,0
81,-77.47172779,71.31774949,0
82,-88.15363016,57.59364105,0
83,-96.4309313,42.29852822,0
84,-102.077848,25.8496218,0
85,-104.9403471,8.695605078,0
86,-104.9403471,-8.695605078,0
87,-102.077848,-25.8496218,0
88,-96.4309313,-42.29852822,0
89,-88.15363016,-57.59364105,0
90,-77.47172779,-71.31774949,0
91,-64.67659865,-83.09649564,0
92,-50.11726049,-92.608586,0
93,-34.19085411,-99.59455555,0
94,-17.33181036,-103.8638452,0
95,16.82602791,-119.7234095,0
96,33.32455632,-116.216539,0
97,49.17446015,-110.4476458,0
98,64.06723905,-102.5290148,0
99,77.71302201,-92.61477317,0
100,89.8462094,-80.89789031,0
101,100.2306425,-67.60642203,0
102,108.6642002,-52.99907165,0
103,114.9827328,-37.36015462,0
104,119.0632573,-20.99406468,0
105,120.826351,-4.219349151,0
106,120.2376972,12.63749121,0
107,117.3087533,29.24835718,0
108,112.096528,45.28993714,0
109,104.7024713,60.45,0
110,95.27050011,74.43347237,0
111,83.98419699,86.96818186,0
112,71.063237,97.81015462,0
113,56.75911194,106.748364,0
114,41.35023533,113.6088379,0
115,25.13652342,118.2580449,0
116,8.433557676,120.6054937,0
117,-8.433557676,120.6054937,0
118,-25.13652342,118.2580449,0
119,-41.35023533,113.6088379,0
120,-56.75911194,106.748364,0
121,-71.063237,97.81015462,0
122,-83.98419699,86.96818186,0
123,-95.27050011,74.43347237,0
124,-104.7024713,60.45,0
125,-112.096528,45.28993714,0
126,-117.3087533,29.24835718,0
127,-120.2376972,12.63749121,0
128,-120.826351,-4.219349151,0
129,-119.0632573,-20.99406468,0
130,-114.9827328,-37.36015462,0
131,-108.6642002,-52.99907165,0
132,-100.2306425,-67.60642203,0
133,-89.8462094,-80.89789031,0
134,-77.71302201,-92.61477317,0
135,-64.06723905,-102.5290148,0
136,-49.17446015,-110.4476458,0
137,-33.32455632,-116.216539,0
138,-16.82602791,-119.7234095,0
139,17.24585294,-136.5149829,0
140,34.21972847,-133.277043,0
141,50.65393845,-127.9372445,0
142,66.28930556,-120.5797992,0
143,80.87925072,-111.3207384,0
144,94.19368178,-100.3060831,0
145,106.0226222,-87.70954099,0
146,116.1795225,-73.72976699,0
147,124.5042024,-58.58723052,0
148,130.8653766,-42.52073843,0
149,135.1627257,-25.78366889,0
150,137.3284778,-8.639975487,0
151,137.3284778,8.639975487,0
152,135.1627257,25.78366889,0
153,130.8653766,42.52073843,0
154,124.5042024,58.58723052,0
155,116.1795225,73.72976699,0
156,106.0226222,87.70954099,0
157,94.19368178,100.3060831,0
158,80.87925072,111.3207384,0
159,66.28930556,120.5797992,0
160,50.65393845,127.9372445,0
161,34.21972847,133.277043,0
162,17.24585294,136.5149829,0
163,-4.43E-14,137.6,0
164,-17.24585294,136.5149829,0
165,-34.21972847,133.277043,0
