id,x,y
290,147.257,25.743
291,-209.036,-407.824
292,350.068,-287.055
293,-391.447,-312.97
294,366.405,472.751
295,160.208,-483.144
296,374.941,418.765
297,-140.742,-422.011
298,409.172,-226.868
299,-222.531,-400.379
300,-2.835,-491.298
301,598.477,276.668
302,75.655,-388.997
303,370.545,307.476
304,326.324,-232.716
305,-515.961,-11.646
306,371.015,445.157
307,349.143,-144.794
308,659.624,-22.194
309,187.436,324.668
310,194.701,-320.527
311,435.616,-300.411
312,-192.361,-77.497
313,113.662,-434.32
314,76.972,456.284
315,-612.462,205.501
316,-221.319,8.368
317,-281.981,455.735
318,-379.086,328.103
319,173.511,-166.99
320,-36.315,-190.869
321,-204.274,534.633
322,548.586,-243.754
323,-213.971,312.908
324,-284.13,302.864
325,284.429,-443.775
326,44.827,232.658
327,-470.812,-250.672
328,101.564,-79.025
329,-433.826,397.565
330,83.874,-106.288
331,-595.956,-107.134
332,-251.903,132.268
333,296.13,518.694
334,-22.903,256.026
335,549.101,-191.997
336,-643.493,-53.014
337,-333.877,-374.876
338,-176.168,455.916
339,239.535,-203.826
340,-112.002,-492.588
341,-292.235,-179.77
342,498.532,-6.923
343,-54.884,-302.786
344,-223.296,177.476
345,-299.878,-423.703
346,-410.538,-159.666
347,-554.663,-192.04
348,173.904,-36.447
349,400.243,-213.248
350,-474.545,-313.834
351,410.056,61.879
352,-149.578,224.5
353,-126.468,-75.93
354,319.707,-319.843
355,-372.67,-383.437
356,-432.125,342.974
357,230.323,129.102
358,-254.99,345.495
359,-63.136,-170.321
360,-549.972,-205.257
361,597.588,-163.269
362,-329.337,-273.603
363,-128.374,-488.337
364,-360.055,55.231
365,470.896,-309.161
366,-19.851,120.026
367,-5.21,-299.723
368,101.429,-383.568
369,280.82,9.893
370,-116.293,-475.636
371,-36.773,325.547
372,-123.284,-372.812
373,319.376,222.15
374,554.183,-230.921
375,-148.925,300.769
376,254.065,-216.708
377,394.508,-77.379
378,-221.767,-384.134
379,-236.014,235.99
380,328.552,-162.881
381,-202.435,-189.169
382,136.893,313.053
383,176.794,305.27
384,-308.787,297.097
385,430.058,-335.377
386,-47.486,-344.921
387,347.026,-176.98
388,79.947,-376.191
389,-144.596,-483.541
390,-85.351,-383.988
391,-161.515,-74.218
392,198.102,-279.96
393,44.102,-405.922
394,240.971,29.973
395,261.083,-286.965
396,-586.856,-149.571
397,519.573,169.578
398,119.59,223.605
399,-195.62,-398.557
400,-352.149,266.2
401,-362.977,-29.929
402,633.674,-88.36
403,178.55,292.337
404,207.701,-465.442
405,134.257,-125.539
406,-207.36,-97.628
407,38.204,-419.07
408,407.399,285.129
409,127.867,-120.634
410,-298.19,146.923
411,-478.873,-72.362
412,-598.06,94.519
413,-600.343,-78.53
414,-207.839,-289.1
415,-528.118,-256.907
416,-288.879,-372.733
417,56.108,345.78
418,277.917,129.203
419,299.316,357.383
420,-213.021,-61.58
421,-253.702,280.644
422,-73.367,-426.156
423,316.373,-361.905
424,-244.996,369.302
425,271.332,-99.731
426,659.964,-6.803
427,-481.823,-302.368
428,-644.565,-37.633
429,-574.857,248.084
430,244.145,52.754
431,-39.406,-152.352
432,-23.012,522.392
433,437.847,-325.314
434,-614.423,-117.996
435,-625.457,161.117
436,-559.042,-178.716
437,42.004,-217.865
438,97.369,-144.846
439,338.038,342.211
440,506.87,-203.994
441,-404.575,427.787
442,-489.432,-252.98
443,236.557,-368.078
444,434.791,301.583
445,-270.895,-350.216
446,487.473,411.85
447,525.319,-73.047
448,345.846,-313.643
449,559.475,-217.96
450,-38.999,164.251
451,599.5,-41.152
452,511.539,-192.159
453,-390.354,-365.071
454,-160.649,-478.207
455,-25.785,-255.671
456,-44.049,-230.051
457,138.01,-204.481
458,290.091,186.528
459,-637.833,100.718
460,-100.226,-41.497
461,209.183,398.957
462,181.873,-134.785
463,-184.15,137.656
464,-275.076,187.531
465,-401.842,-96.4
466,-121.42,598.92
467,223.108,-458.498
468,-461.994,80.379
469,277.206,-305.324
470,227.474,-162.616
471,255.77,-29.074
472,-221.684,-56.405
473,-123.561,-442.691
474,373.83,178.06
475,-22.233,139.278
476,516.617,-266.488
477,-448.714,-320.596
478,-170.128,83.051
479,304.14,-372.008
480,-483.548,25.886
481,131.987,-475.286
482,181.843,-112.652
483,184.485,380.979
484,-561.111,-87.163
485,-141.653,537.086
486,-20.281,-394.023
487,-574.775,-191.256
488,-175.293,149.196
489,149.814,-381.826
490,491.586,-275.615
491,-167.344,510.731
492,65.466,154.33
493,-570.096,-204.947
494,-269.113,-444.376
495,-383.917,446.75
496,-176.516,-472.339
497,425.411,-40.836
498,345.493,-19.423
499,-434.521,215.366
500,389.919,-18.14
501,-396.367,409.51
502,195.349,25.918
503,-49.73,-313.671
504,577.18,75.122
505,601.274,-149.303
506,-6.716,612.412
507,134.965,29.407
508,-319.687,-176.261
509,175.582,-259.177
510,659.944,8.591
511,-452.633,404.747
512,35.001,-490.611
513,-110.856,-156.19
514,-64.538,-100.009
515,-374.433,-175.962
516,98.47,586.689
517,-456.147,-109.145
518,77.805,217.44
519,-516.208,-131.821
520,18.62,-491.267
521,557.061,-90.802
522,-216.807,-93.638
523,-452.71,39.711
524,-643.346,54.799
525,553.476,-179.167
526,134.315,-400.523
527,-566.851,-151.775
528,-415.64,-145.618
529,51.351,-489.411
530,577.546,-164.979
531,-585.144,-41.233
532,124.826,123.599
533,238.274,-451.044
534,41.15,186.847
535,-521.852,-106.95
536,-534.086,193.863
537,234.234,-338.5
538,-24.682,-358.877
539,362.98,-142.211
540,25.19,-446.82
541,-398.866,-355.58
542,-329.893,-91.38
543,108.71,-302.19
544,-409.615,476.017
545,108.993,357.121
546,-0.216,-371.277
547,-42.094,-473.443
548,-546.877,-153.529
549,-153.966,-211.387
550,-311.097,-18.399
551,-556.046,115.454
552,542.566,-154.839
553,421.65,372.596
554,-113.841,476.266
555,-33.412,-392.887
556,47.87,179.712
557,92.282,297.134
558,-186.174,-30.861
559,-19.22,-490.69
560,-384.369,-113.291
561,-47.629,520.386
562,94.485,-453.259
563,83.881,-485.376
564,-339.637,-189.036
565,359.017,77.603
566,79.321,-455.919
567,403.382,176.41
568,635.582,-73.563
569,-309.799,-416.333
570,496.77,42.144
571,160.315,634.605
572,-57.521,389.644
573,-229.639,53.446
574,80.217,-154.202
575,91.335,163.928
576,350.956,-329.232
577,-35.576,-489.537
578,-15.82,264.799
579,-91.377,-408.497
580,192.417,271.295
581,98.952,-295.142
582,227.809,243.387
583,452.703,-304.651
584,-21.652,-226.796
585,-112.046,54.564
586,-147.332,236.319
587,-280.912,-416.958
588,-206.181,-130.846
589,380.438,-366.718
590,-192.179,-465.945
591,100.027,-482.548
592,-280.075,138.279
593,399.904,-149.505
594,564.462,-204.878
595,-167.723,-168.353
596,-287.087,-94.595
597,328.262,-351.4
598,-433.589,75.53
599,197.857,-404.493
600,111.908,-194.196
601,-617.035,-103.282
602,154.219,44.81
603,-64.091,-282.012
604,639.212,-28.962
605,-579.13,-177.457
606,631.133,104.816
607,76.159,-176.944
608,-414.883,147.797
609,232.977,35.957
610,-194.202,135.577
611,82.407,400.595
612,-645.272,-22.23
613,253.183,-443.089
614,-518.849,120.862
615,502.691,291.565
616,522.759,-254.403
617,184.267,-410.624
618,626.917,205.186
619,-351.962,28.904
620,-407.152,-345.89
621,-101.591,-233.721
622,-5.959,141.74
623,-350.925,336.513
624,-460.071,-152.182
625,-338.315,-102.228
626,-495.27,-241.178
627,-427.015,292.038
628,257.08,-13.863
629,-68.13,-485.596
630,497.949,-264.118
631,336.324,-385.37
632,-182.625,-268.125
633,30.97,-200.201
634,445.397,-315.07
635,302.787,51.084
636,138.512,-279.791
637,332.531,-368.266
638,334.496,-199.202
639,-292.943,73.945
640,540.695,-81.645
641,-207.62,-459.031
642,-222.823,-451.606
643,-624.776,30.746
644,364.484,292.233
645,-126.988,220.129
646,-84.291,-482.813
647,-285.688,-301.358
648,501.922,-215.717
649,216.458,-69.931
650,-132.988,-343.885
651,-183.583,-360.206
652,619.396,-20.823
653,100.138,-325.863
654,-500.649,377.387
655,9.835,164.941
656,224.162,-375.518
657,286.143,-245.118
658,361.736,-317.593
659,170.242,401.878
660,141.365,-358.9
661,-27.2,233.164
662,454.077,16.041
663,534.673,-179.901
664,-146.049,-75.142
665,-462.525,299.998
666,523.428,157.453
667,231.818,-226.202
668,-415.206,-336.007
669,487.371,-104.36
670,-201.264,267.178
671,416.507,-213.351
672,-265.338,-408.916
673,-257.743,-159.235
674,-226.642,-65.321
675,-570.275,-138.173
676,-299.842,553.215
677,-459.536,-93.604
678,570.41,288.226
679,147.767,-470.859
680,161.389,-90.177
681,109.957,136.208
682,-311.807,78.553
683,-206.583,425.305
684,637.143,-58.726
685,-426.697,-157.565
686,-200.663,2.522
687,-76.297,-373.962
688,241.726,317.799
689,-539.655,-231.34
690,284.51,53.018
691,267.818,-434.642
692,-534.038,-244.192
693,209.139,-49.124
694,380.804,-128.123
695,238.302,-416.122
696,-394.032,-283.743
697,458.954,295.302
698,-100.352,-479.491
699,387.518,311.153
700,506.359,388.745
701,-495.558,-278.938
702,-304.87,-379.61
703,67.65,-487.665
704,242.588,-123.437
705,170.479,-416.3
706,-305.919,-178.282
707,226.929,63.142
708,118.555,-199.662
709,-190.308,-189.669
710,470.01,111.196
711,636.981,60.451
712,260.566,-351.982
713,-430.604,-315.684
714,659.56,23.98
715,-178.283,564.042
716,-97.808,-434.685
717,268.81,-46.953
718,-7.601,152.945
719,-187.695,19.034
720,479.145,-225.948
721,303.86,-44.433
722,163.39,-465.909
723,-12.824,234.834
724,455.774,-269.383
725,-562.495,275.291
726,233.365,-33.431
727,569.136,-191.683
728,204.004,288.478
729,584.773,304.24
730,-258.635,1.505
731,-252.445,-435.253
732,-447.32,-259.31
733,64.135,-193.4
734,353.584,-392.183
735,29.865,-188.55
736,-604.378,-35.316
737,-56.873,-249.704
738,-583.157,-163.559
739,387.865,-43.561
740,408.155,-73.197
741,-238.542,-120.831
742,-89.652,-347.034
743,-166.672,-201.069
744,-32.333,-247.129
745,29.258,-382.528
746,205.179,114.329
747,445.234,89.904
748,-125.349,-359.518
749,-327.463,-133.531
750,-139.233,-317.055
751,-619.303,-88.51
752,-645.615,-6.814
753,245.886,-240.519
754,528.613,-242.177
755,-81.041,316.435
756,-78.722,606.518
757,-458.438,-272.968
758,-51.886,-487.838
759,320.272,-280.279
760,264.902,-6.424
761,-181.643,51.802
762,513.654,18.187
763,224.301,-423.596
764,-103.725,-147.166
765,346.027,-3.939
766,-57.947,-178.399
767,-72.893,205.593
768,496.421,-132.25
769,75.452,-321.327
770,178.838,-460.442
771,490.581,-88.305
772,431.779,215.155
773,-100.868,-355.286
774,-501.271,268.381
775,306.215,23.899
776,354.405,-188.268
777,639.719,-14.052
778,78.582,300.72
779,-426.041,-20.622
780,293.618,437.9
781,-115.567,-415.969
782,324.386,-85.425
783,40.084,-445.971
784,61.085,-182.101
785,282.162,-425.712
786,486.021,382.034
787,413.569,-186.605
788,332.078,48.567
789,-352.655,-334.662
790,378.599,-321.748
791,-365.591,130.612
792,93.726,147.05
793,-45.848,458.536
794,104.861,-264.906
795,-132.097,-471.251
796,279.986,-23.523
797,230.909,-47.143
798,-2.133,-461.498
799,229.559,269.271
800,-544.966,-218.36
801,-51.084,-366.752
802,-463.346,-298.708
803,120.426,-462.332
804,194.094,-454.462
805,-66.753,-200.861
806,159.868,188.723
807,-237.77,-443.677
808,607.652,-121.131
809,75.871,364.942
810,202.712,70.479
811,596.902,-69.027
812,-296.349,532.087
813,160.52,377.654
814,49.717,-246.626
815,438.067,-49.333
816,649.659,115.739
817,-330.606,27.196
818,-220.001,-265.24
819,-147.747,-466.34
820,362.245,144.037
821,390.217,282.592
822,240.109,468.559
823,-502.006,-266.985
824,523.856,-156.039
825,112.287,584.371
826,17.465,122.599
827,-48.037,304.109
828,296.2,-416.309
829,-645.593,8.605
830,408.177,515.145
831,46.352,-431.927
832,128.059,23.485
833,-559.134,233.534
834,251.232,-391.797
835,51.925,-315.634
836,-30.52,460.05
837,573.499,-178.381
838,-324.681,-341.248
839,-191.051,579.611
840,-321.139,-11.402
841,-28.009,161.168
842,278.696,-390.966
843,-453.855,170.086
844,0.778,159.181
845,-621.012,75.413
846,209.142,-447.978
847,559.048,-77.814
848,509.428,279.801
849,-349.877,427.936
850,143.457,41.375
851,557.549,-166.239
852,658.813,39.357
853,-293.064,512.246
854,-505.188,335.75
855,323.296,-396.126
856,534.177,-229.816
857,-369.349,71.07
858,375.387,-106.027
859,129.327,-363.173
860,-338.656,190.823
861,398.856,-112.82
862,-319.631,-200.044
863,-105.154,-104.895
864,-452.654,434.584
865,616.216,65.709
866,-621.218,-73.689
867,-511.086,-204.992
868,-266.465,9.995
869,416.726,455.535
870,-59.617,241.191
871,-437.939,-305.255
872,243.682,331.968
873,-512.528,-60.97
874,153.998,-437.619
875,-330.783,-314.41
876,-176.277,605.518
877,-257.932,552.232
878,-163.226,-460.91
879,-26.871,-307.2
880,-17.524,-460.93
881,79.619,-341.629
882,-250.942,-63.501
883,-110.079,37.598
884,-248.74,-384.155
885,120.584,-47.956
886,79.603,-89.431
887,223.965,-440.996
888,-213.847,-117.437
889,-470.271,-287.51
890,-8.153,-419.938
891,-475.941,240.636
892,295.458,288.153
893,-484.138,9.477
894,-266.352,-181.937
895,302.222,373.531
896,26.246,-475.618
897,564.333,13.9
898,-266.831,-426.343
899,-297.959,121.705
900,355.408,-129.001
901,-362.147,-252.146
902,40.931,-126.62
903,-144.345,500.845
904,275.122,-113.234
905,-71.144,469.512
906,43.197,-166.772
907,280.755,69.854
908,-251.533,-417.786
909,480.779,-180.418
910,-129.258,-164.925
911,324.204,-335.503
912,57.915,-473.288
913,-99.574,178.317
914,-245.435,-194.476
915,40.662,556.321
916,-248.481,-206.294
917,-534.615,-192.378
918,140.828,-106.104
919,62.082,-161.546
920,163.729,449.519
921,-512.948,-144.15
922,416.508,242.953
923,-67.86,-146.921
924,5.467,-475.997
925,105.884,-346.503
926,21.412,-114.138
927,-364.418,368.408
928,-428.26,-227.758
929,99.454,384.048
930,281.392,-180.897
931,-632.358,131.064
932,536.09,382.66
933,309.916,-406.443
934,625.497,134.115
935,-94.999,188.075
936,-83.371,384.46
937,-270.933,-246.091
938,-508.171,-254.884
939,-10.411,-475.675
940,-52.263,-186.52
941,-487.364,-216.192
942,-180.11,406.076
943,406.325,-312.296
944,401.391,-240.134
945,-178.948,-37.931
946,-563.012,-73.714
947,-178.515,-454.966
948,20.359,-282.033
949,-44.762,-430.579
950,561.316,-153.218
951,-245.127,-352.762
952,89.355,-468.852
953,-521.16,270.928
954,638.351,-43.856
955,-150.367,-449.173
956,-565.857,-46.7
957,-384.417,-51.673
958,504.04,-252.474
959,34.524,-248.769
960,452.598,-241.762
961,466.568,-283.312
962,-154.746,-416.839
963,-566.8,-33.151
964,539.449,-217.328
965,580.216,-46.603
966,301.151,-355.875
967,340.314,-298.319
968,-177.162,236.665
969,216.926,-201.541
970,-25.928,505.718
971,104.946,-465.851
972,-84.44,646.362
973,-218.539,36.502
974,139.325,-442.271
975,-294.672,-407.107
976,255.877,-93.83
977,578.793,61.664
978,312.847,-345.881
979,-221.017,-368.817
980,-465.313,183.319
981,-425.929,22.857
982,-338.48,-392.847
983,-622.783,-58.827
984,276.681,392.358
985,-482.62,-39.741
986,-483.812,-180.942
987,-245.667,-287.904
988,287.616,-32.845
989,-353.517,-264.344
990,128.085,-430.527
991,8.477,290.874
992,172.308,-401.034
993,130.546,-192.486
994,241.224,-64.487
995,228.877,-116.15
996,-292.021,-389.817
997,383.436,533.487
998,-348.968,105.211
999,-140.614,-163.834
1000,-347.625,144.698
1001,112.248,186.474
1002,-83.243,-437.947
1003,541.985,257.917
1004,-31.003,125.353
1005,181.737,168.703
1006,-645.207,24.019
1007,-57.864,-471.535
1008,-472.03,-164.965
1009,-590.226,-135.498
1010,-308.096,-396.802
1011,89.156,-244.406
1012,-216.407,-47.852
1013,367.67,-333.947
1014,-211.683,178.39
1015,-468.604,-14.678
1016,-257.696,-194.322
1017,-194.458,-246.93
1018,171.681,158.781
1019,-393.362,75.578
1020,441.226,-157.072
1021,362.197,61.432
1022,145.341,471.577
1023,-320.093,-325.522
1024,-193.597,-448.514
1025,-41.529,-404.678
1026,-440.325,271.204
1027,162.871,613.239
1028,-135.288,-454.181
1029,473.119,-272.404
1030,467.073,39.58
1031,-339.843,-236.992
1032,-73.562,-469.103
1033,-500.825,-229.242
1034,269.111,164.093
1035,468.727,-6.501
1036,164.976,-349.164
1037,307.141,-178.843
1038,-254.368,-47.46
1039,318.042,574.056
1040,528.051,49.975
1041,-476.929,-276.152
1042,-95.788,-136.066
1043,466.617,213.926
1044,-154.29,533.425
1045,-464.894,-136.487
1046,329.519,63.364
1047,-206.631,377.338
1048,-635.275,115.923
1049,252.87,-425.569
1050,298.568,-71.317
1051,-519.632,-230.26
1052,65.21,259.384
1053,564.389,141.638
1054,610.341,-106.939
1055,-42.383,-94.865
1056,257.715,164.996
1057,61.672,-268.327
1058,-441.469,200.492
1059,-228.162,-13.231
1060,192.532,-119.709
1061,-99.626,76.025
1062,-7.143,-338.56
1063,201.145,-133.906
1064,-210.741,-34.685
1065,-89.17,-466.147
1066,-296.356,172.721
1067,-514.047,-242.639
1068,-76.379,328.401
1069,463.415,-182.547
1070,483.75,216.066
1071,-113.704,-194.058
1072,490.121,90.79
1073,415.783,98.121
1074,52.075,141.037
1075,91.558,411.658
1076,150.991,-453.755
1077,-194.335,-298.669
1078,77.975,-208.966
1079,-233.636,-147.422
1080,-104.957,-404.981
1081,-262.341,-84.177
1082,483.179,1.224
1083,-162.79,140.702
1084,205.852,600.692
1085,-155.63,160.523
1086,-208.457,-441.563
1087,237.189,-192.579
1088,509.854,-240.691
1089,23.298,-394.649
1090,456.604,156.825
1091,-491.595,389.274
1092,233.228,-238.362
1093,439.286,37.18
1094,-104.672,-462.673
1095,581.721,21.114
1096,58.162,-171.18
1097,-374.877,504.323
1098,-206.745,143.872
1099,-426.488,-6.13
1100,130.907,-263.252
1101,285.7,297.596
1102,451.131,171.709
1103,102.381,-134.742
1104,179.827,-328.777
1105,544.424,-204.72
1106,-164.964,428.294
1107,266.92,-417.143
1108,-453.781,24.321
1109,111.739,23.475
1110,-555.162,331.597
1111,-479.4,-192.492
1112,472.372,273.678
1113,-241.027,32.251
1114,-346.205,-363.279
1115,-243.42,538.275
1116,-593.257,-121.35
1117,-602.029,-64.159
1118,-145.342,467.132
1119,-241.285,-230.434
1120,-231.948,-254.522
1121,454.732,-112.98
1122,-120.051,-458.683
1123,264.77,418.474
1124,-583.936,277.073
1125,435.108,-241.561
1126,375.605,142.385
1127,476.793,-77.718
1128,80.154,-187.943
1129,-157.195,372.987
1130,-317.229,129.33
1131,-398.429,-330.593
1132,460.406,-226.787
1133,-459.945,-196.593
1134,-261.861,-306.2
1135,-644.461,39.42
1136,582.077,-5.99
1137,413.314,-329.937
1138,124.053,-390.482
1139,-238.302,-309.437
1140,-445.025,-294.655
1141,301.901,559.859
1142,180.913,-443.161
1143,-141.668,56.943
1144,-223.077,-434.118
1145,521.301,-97.383
1146,73.652,389.344
1147,-303.35,-244.103
1148,326.45,353.047
1149,479.412,-261.344
1150,-0.071,360.215
1151,-425.11,-35.091
1152,-233.463,-268.149
1153,395.696,-325.424
1154,368.591,214.397
1155,67.347,-366.444
1156,313.825,-38.797
1157,485.441,-250.139
1158,130.207,641.125
1159,612.694,-92.689
1160,195.591,-437.123
1161,100.134,275.625
1162,-625.522,0.868
1163,-65.628,485.977
1164,-585.876,28.857
1165,280.681,-408.253
1166,600.863,150.93
1167,-157.883,-386.444
1168,-219.475,-138.867
1169,222.829,-345.878
1170,515.387,-228.773
1171,-385.98,-268.344
1172,-99.894,118.001
1173,361.758,-249.742
1174,168.507,-432.481
1175,348.986,-374.185
1176,581.278,-151.486
1177,-321.129,517.164
1178,-10.033,-257.211
1179,643.489,145.901
1180,-379.705,128.316
1181,-365.428,-367.387
1182,443.597,485.505
1183,-237.441,-426.19
1184,269.458,-328.318
1185,263.718,-205.191
1186,545.128,-43.743
1187,210.059,-430.598
1188,-279.244,-181.102
1189,382.102,-293.273
1190,84.55,648.222
1191,-623.998,-43.932
1192,344.623,-357.219
1193,-604.062,163.388
1194,33.408,-460.846
1195,-481.285,135.12
1196,-406.201,347.026
1197,-128.934,540.45
1198,-140.279,211.457
1199,276.791,-374.668
1200,-524.302,-167.775
1201,18.021,-461.464
1202,80.884,-281.384
1203,48.765,-459.714
1204,-125.94,-97.493
1205,-179.985,-437.661
1206,36.452,-393.892
1207,64.075,-458.071
1208,-466.561,-46.422
1209,654.402,85.32
1210,389.082,-175.314
1211,-268.803,117.604
1212,-107.248,601.787
1213,54.94,-444.625
1214,287.244,366.92
1215,-159.116,-372.135
1216,353.242,-261.414
1217,-60.34,-210.049
1218,-563.105,-165.291
1219,61.715,458.358
1220,-531.634,-142.484
1221,-124.48,79.323
1222,59.074,367.706
1223,294.137,-398.91
1224,-515.254,194.126
1225,563.923,-25.506
1226,-492.93,419.614
1227,-524.925,-217.752
1228,543.791,57.88
1229,83.98,534.233
1230,322.386,92.532
1231,444.533,316.269
1232,538.62,-94.198
1233,124.504,-446.431
1234,-165.272,-443.665
1235,-365.664,295.921
1236,-32.889,-459.849
1237,-124.459,-108.591
