id,x,y
293,-157.627,78.292
294,-163.949,64.007
295,-168.978,49.218
296,-172.677,34.041
297,-175.015,18.596
298,-175.974,3.005
299,-175.548,-12.61
300,-173.738,-28.126
301,-170.56,-43.42
302,-166.038,-58.372
303,-160.209,-72.864
304,-153.117,-86.783
305,-144.819,-100.017
306,-135.38,-112.464
307,-124.875,-124.025
308,-113.386,-134.609
309,-101.004,-144.132
310,-87.826,-152.521
311,-73.957,-159.707
312,-59.505,-165.636
313,-44.584,-170.259
314,-29.312,-173.542
315,-13.809,-175.457
316,7.81,175.827
317,23.37,174.442
318,38.745,171.682
319,53.815,167.571
320,68.461,162.139
321,82.568,155.43
322,96.024,147.497
323,108.724,138.402
324,120.568,128.216
325,131.462,117.021
326,141.32,104.903
327,150.065,91.96
328,157.627,78.292
329,163.949,64.007
330,168.978,49.218
331,172.677,34.041
332,175.015,18.596
333,175.974,3.005
334,175.548,-12.61
335,173.738,-28.126
336,170.56,-43.42
337,166.038,-58.372
338,160.209,-72.864
339,153.117,-86.783
340,144.819,-100.017
341,135.38,-112.464
342,124.875,-124.025
343,113.386,-134.609
344,101.004,-144.132
345,87.826,-152.521
346,73.957,-159.707
347,59.505,-165.636
348,44.584,-170.259
349,29.312,-173.542
350,13.809,-175.457
351,0,196
352,-15.827,195.36
353,-31.55,193.444
354,-47.067,190.265
355,-62.277,185.843
356,-77.08,180.207
357,-91.38,173.395
358,-105.083,165.45
359,-118.099,156.424
360,-130.345,146.377
361,-141.739,135.374
362,-152.207,123.487
363,-161.682,110.793
364,-170.1,97.376
365,-177.407,83.322
366,-183.556,68.725
367,-188.506,53.679
368,-192.225,38.282
369,-194.689,22.635
370,-195.881,6.84
371,-195.793,-8.999
372,-194.427,-24.78
373,-191.791,-40.398
374,-187.903,-55.753
375,-182.788,-70.744
376,-176.478,-85.273
377,-169.016,-99.245
378,-160.45,-112.568
379,-150.837,-125.157
380,-140.238,-136.928
381,-128.723,-147.805
382,-116.368,-157.716
383,-103.253,-166.598
384,-89.463,-174.391
385,-75.089,-181.046
386,-60.225,-186.518
387,-44.967,-190.772
388,-29.416,-193.78
389,-13.672,-195.523
390,15.827,195.36
391,31.55,193.444
392,47.067,190.265
393,62.277,185.843
394,77.08,180.207
395,91.38,173.395
396,105.083,165.45
397,118.099,156.424
398,130.345,146.377
399,141.739,135.374
400,152.207,123.487
401,161.682,110.793
402,170.1,97.376
403,177.407,83.322
404,183.556,68.725
405,188.506,53.679
406,192.225,38.282
407,194.689,22.635
408,195.881,6.84
409,195.793,-8.999
410,194.427,-24.78
411,191.791,-40.398
412,187.903,-55.753
413,182.788,-70.744
414,176.478,-85.273
415,169.016,-99.245
416,160.45,-112.568
417,150.837,-125.157
418,140.238,-136.928
419,128.723,-147.805
420,116.368,-157.716
421,103.253,-166.598
422,89.463,-174.391
423,75.089,-181.046
424,60.225,-186.518
425,44.967,-190.772
426,29.416,-193.78
427,13.672,-195.523
428,0,216
429,-15.828,215.419
430,-31.572,213.68
431,-47.145,210.792
432,-62.465,206.771
433,-77.449,201.637
434,-92.017,195.42
435,-106.09,188.151
436,-119.592,179.871
437,-132.452,170.624
438,-144.599,160.459
439,-155.969,149.432
440,-166.499,137.601
441,-176.135,125.03
442,-184.824,111.786
443,-192.518,97.942
444,-199.178,83.571
445,-204.767,68.751
446,-209.254,53.561
447,-212.616,38.082
448,-214.835,22.4
449,-215.899,6.596
450,-215.802,-9.242
451,-214.545,-25.031
452,-212.134,-40.686
453,-208.582,-56.122
454,-203.908,-71.256
455,-198.139,-86.006
456,-191.303,-100.295
457,-183.44,-114.044
458,-174.589,-127.179
459,-164.8,-139.631
460,-154.125,-151.332
461,-142.621,-162.22
462,-130.35,-172.235
463,-117.378,-181.324
464,-103.776,-189.438
465,-89.615,-196.533
466,-74.972,-202.572
467,-59.926,-207.521
468,-44.558,-211.354
469,-28.95,-214.051
470,-13.186,-215.597
471,15.828,215.419
472,31.572,213.68
473,47.145,210.792
474,62.465,206.771
475,77.449,201.637
476,92.017,195.42
477,106.09,188.151
478,119.592,179.871
479,132.452,170.624
480,144.599,160.459
481,155.969,149.432
482,166.499,137.601
483,176.135,125.03
484,184.824,111.786
485,192.518,97.942
486,199.178,83.571
487,204.767,68.751
488,209.254,53.561
489,212.616,38.082
490,214.835,22.4
491,215.899,6.596
492,215.802,-9.242
493,214.545,-25.031
494,212.134,-40.686
495,208.582,-56.122
496,203.908,-71.256
497,198.139,-86.006
498,191.303,-100.295
499,183.44,-114.044
500,174.589,-127.179
501,164.8,-139.631
502,154.125,-151.332
503,142.621,-162.22
504,130.35,-172.235
505,117.378,-181.324
506,103.776,-189.438
507,89.615,-196.533
508,74.972,-202.572
509,59.926,-207.521
510,44.558,-211.354
511,28.95,-214.051
512,13.186,-215.597
513,-7.849,236.87
514,-23.512,235.831
515,-39.072,233.757
516,-54.461,230.658
517,-69.611,226.546
518,-84.455,221.441
519,-98.929,215.365
520,-112.969,208.343
521,-126.514,200.408
522,-139.503,191.593
523,-151.88,181.938
524,-163.591,171.485
525,-174.584,160.279
